prop_address_zipcode_1,pin,year,board_tot,board_tot_num
60618,13262140670000,2017,43673,43673
60618,14191210401004,2018,46987,46987
60618,13144010060000,2018,30981,30981
60618,14193180451005,2020,22374,22374
60618,14193310361046,2020,1418,1418
60618,13143240250000,2020,31668,31668
60618,14193200120000,2020,121756,121756
60618,13251350040000,2020,41071,41071
60618,14193310361071,2020,1418,1418
60618,14191210330000,2020,74521,74521
60618,14183230121003,2019,27223,27223
60618,14193270300000,2020,120626,120626
60618,13242000680000,2020,42212,42212
60618,13232230040000,2020,25433,25433
60618,13241090170000,2019,44451,44451
60618,13231110130000,2019,48722,48722
60618,14183110300000,2020,65973,65973
60618,14191270180000,2020,64909,64909
60618,13232070310000,2020,31192,31192
60618,13143210141017,2017,15174,15174
60618,13232100070000,2019,39342,39342
60618,14301100190000,2020,89605,89605
60618,13251110301004,2020,41927,41927
60618,13133300311061,2020,1363,1363
60618,13133140411004,2020,24876,24876
60618,14191000351019,2019,28752,28752
60618,14193030030000,2017,55198,55198
60618,14301220300000,2020,17180,17180
60618,13233110240000,2017,34882,34882
60618,13233080310000,2017,36997,36997
60618,13133030381022,2017,1274,1274
60618,13262020280000,2019,35008,35008
60618,13244060220000,2018,6160,6160
60618,13242050270000,2018,68038,68038
60618,13144220270000,2018,26186,26186
60618,14301190471023,2018,26712,26712
60618,13262160330000,2020,28670,28670
60618,13144140340000,2020,42438,42438
60618,13251110210000,2020,44776,44776
60618,13261070030000,2019,37173,37173
60618,13133270150000,2017,39683,39683
60618,13261050480000,2017,33154,33154
60618,13144160360000,2019,34293,34293
60618,14301190481023,2019,28124,28124
60618,13243130040000,2019,38459,38459
60618,13262160370000,2019,4285,4285
60618,13262010300000,2017,29915,29915
60618,13252180410000,2019,40213,40213
60618,13134140461002,2020,31606,31606
60618,13262200140000,2019,29782,29782
60618,14193260090000,2019,67803,67803
60618,14183260350000,2019,125849,125849
60618,13252170180000,2020,41695,41695
60618,13234080590000,2017,33238,33238
60618,14193240460000,2019,65000,65000
60618,13252010250000,2019,30033,30033
60618,14192170461001,2019,48643,48643
60618,13232230060000,2016,24896,24896
60618,14191220471008,2016,18919,18919
60618,14193130510000,2016,93034,93034
60618,14193260541002,2020,50496,50496
60618,13262250560000,2017,68062,68062
60618,14193060350000,2019,71284,71284
60618,14183190030000,2018,57693,57693
60618,14193290340000,2018,98748,98748
60618,13234020460000,2017,43379,43379
60618,13144080280000,2017,33278,33278
60618,14183080040000,2017,55613,55613
60618,14181330371019,2019,20757,20757
60618,13243130310000,2019,40392,40392
60618,14184000130000,2020,79331,79331
60618,13262000150000,2020,33881,33881
60618,13241180110000,2020,39764,39764
60618,14301061061016,2020,1229,1229
60618,13261000301122,2018,14615,14615
60618,13261000301339,2018,824,824
60618,13262150420000,2018,36955,36955
60618,13262250010000,2018,48438,48438
60618,14301020090000,2018,56318,56318
60618,13233320260000,2016,26977,26977
60618,13262130080000,2017,27908,27908
60618,13244060471002,2017,17639,17639
60618,13261150010000,2017,28122,28122
60618,13232030310000,2020,35891,35891
60618,13143030270000,2020,36415,36415
60618,13243170210000,2020,28282,28282
60618,13133300291004,2020,23356,23356
60618,13243160210000,2019,35365,35365
60618,13261160140000,2019,30667,30667
60618,13261100010000,2020,80999,80999
60618,14193210491002,2017,41498,41498
60618,13261020380000,2017,32950,32950
60618,13244060471044,2017,2088,2088
60618,14191020190000,2017,75023,75023
60618,14193310361019,2017,30936,30936
60618,14183210220000,2020,88463,88463
60618,14191300320000,2020,55206,55206
60618,13243020190000,2017,41986,41986
60618,13232030340000,2017,28506,28506
60618,14193300430000,2020,60025,60025
60618,13252200341001,2020,14178,14178
60618,13143230210000,2016,34538,34538
60618,13252100180000,2017,23849,23849
60618,13262000140000,2017,18703,18703
60618,13133090070000,2017,38627,38627
60618,13133230551001,2017,53397,53397
60618,13143010340000,2020,55688,55688
60618,13244060481001,2018,18912,18912
60618,13144000400000,2019,37364,37364
60618,13241290450000,2019,32134,32134
60618,14191220320000,2019,88700,88700
60618,14183140160000,2019,151308,151308
60618,13133300070000,2020,33360,33360
60618,13133200361002,2020,24161,24161
60618,14193270501002,2020,36130,36130
60618,13241040080000,2020,29587,29587
