prop_address_zipcode_1,pin,year
60618,13242060170000,2021
60618,13243230020000,2022
60618,13143020190000,2021
60618,13133080180000,2021
60618,13143140010000,2021
60618,14193240460000,2019
60618,13252010250000,2019
60618,14192170461001,2019
60618,14191000381002,2021
60618,13251170461001,2021
60618,13232230060000,2016
60618,14191220471008,2016
60618,13251120240000,2022
60618,14301070411008,2022
60618,13232280140000,2021
60618,13144090170000,2021
60618,13251250081002,2021
60618,14193130510000,2016
60618,13261190160000,2022
60618,14183200380000,2022
60618,13262230311002,2022
60618,13262170861009,2022
60618,13143150411013,2022
60618,13234050570000,2021
60618,14184180461004,2021
60618,14193260541002,2020
60618,13262250560000,2017
60618,14193060350000,2019
60618,13144010441005,2022
60618,13144310160000,2022
60618,13232190320000,2022
60618,14183190030000,2018
60618,14193290340000,2018
60618,13234020460000,2017
60618,13144080280000,2017
60618,14183080040000,2017
60618,13232240340000,2022
60618,13262180090000,2022
60618,13232020210000,2022
60618,13232220331006,2022
60618,14181330371019,2019
60618,13243130310000,2019
60618,14184000130000,2020
60618,13262000150000,2020
60618,13241180110000,2020
60618,14301061061016,2020
60618,13261000301122,2018
60618,13261000301339,2018
60618,13262150420000,2018
60618,13262250010000,2018
60618,14301020090000,2018
60618,13233320260000,2016
60618,13262130080000,2017
60618,13244060471002,2017
60618,13261150010000,2017
60618,13232030310000,2020
60618,13143030270000,2020
60618,13243170210000,2020
60618,13133300291004,2020
60618,13243160210000,2019
60618,13261160140000,2019
60618,13232090070000,2022
60618,14191220090000,2022
60618,14301061041002,2022
60618,13261100010000,2020
60618,13134120160000,2021
60618,13144110140000,2021
60618,14193210491002,2017
60618,13261020380000,2017
60618,13244060471044,2017
60618,14191020190000,2017
60618,14193310361019,2017
60618,14183210220000,2020
60618,14191300320000,2020
60618,13241190010000,2022
60618,13133300301004,2022
60618,13232070130000,2022
60618,14301000010000,2022
60618,13233200350000,2021
60618,13262150440000,2021
60618,14301160231031,2021
60618,13243020190000,2017
60618,13232030340000,2017
60618,14193300430000,2020
60618,13252200341001,2020
60618,13143230210000,2016
60618,13252100180000,2017
60618,13262000140000,2017
60618,13133090070000,2017
60618,13133230551001,2017
60618,13143010340000,2020
60618,13244060481001,2018
60618,14191300240000,2022
60618,14194090090000,2021
60618,13144000400000,2019
60618,13241290450000,2019
60618,14191220320000,2019
60618,14183140160000,2019
60618,13133300070000,2020
60618,13133200361002,2020
60618,14193270501002,2020
60618,13241040080000,2020
60618,13144140020000,2021
60618,13233100080000,2022
60618,14301110310000,2021
60618,13233190050000,2021
60618,13251100150000,2021
60618,13242050190000,2019
60618,13243210100000,2019
60618,13234080550000,2017
60618,14193100310000,2017
60618,13261210350000,2021
60618,13232280050000,2021
60618,14301110190000,2021
60618,13252100431004,2022
60618,14193130090000,2020
60618,13133020441001,2020
60618,14191130330000,2021
60618,13262020370000,2017
60618,13252000030000,2017
60618,14193180441014,2022
60618,14183290470000,2022
60618,14191050100000,2021
60618,13261260300000,2016
60618,13251240400000,2016
60618,13262170640000,2022
60618,14191050371011,2022
60618,13262010340000,2019
60618,14193170310000,2022
60618,14191230160000,2017
60618,13133170391007,2021
60618,13261210130000,2022
60618,13144290481010,2022
60618,13232130461007,2019
60618,14193250070000,2020
60618,13241120200000,2020
60618,13231130301011,2020
60618,13241270401018,2020
60618,13133250381021,2021
60618,14191160180000,2021
60618,14193170190000,2020
60618,13233120210000,2020
60618,13243060030000,2020
60618,13241280290000,2020
60618,13231270070000,2020
60618,14183210601065,2020
60618,13144290481015,2022
60618,13251100190000,2022
60618,13241180391004,2022
60618,14183270311002,2022
60618,14193280381001,2021
60618,13242080310000,2020
60618,13231100330000,2022
60618,13252030601002,2022
60618,13134130010000,2022
60618,13262220320000,2022
60618,13233180270000,2017
60618,13133230481005,2020
60618,13134180270000,2020
60618,14193110040000,2020
60618,13144210090000,2021
60618,14183010471003,2021
60618,13252190220000,2021
60618,13144190431001,2022
60618,14301070080000,2022
60618,13242000640000,2022
60618,14193200190000,2022
60618,13234060690000,2021
60618,13144110030000,2021
60618,13143130351014,2021
60618,13252150340000,2021
60618,13262150300000,2022
60618,13133060210000,2021
60618,13231200020000,2021
60618,13261300070000,2017
60618,13231280360000,2017
60618,14193190491003,2017
60618,14301190541002,2017
60618,13144190080000,2019
60618,14183210290000,2017
60618,13252160460000,2022
60618,13143330130000,2022
60618,13133070461001,2022
60618,13133100390000,2021
60618,13143230040000,2022
60618,14301050491003,2022
60618,13233210100000,2021
60618,13133060010000,2021
60618,13251130060000,2021
60618,13113240351011,2016
60618,13231120341005,2016
60618,13261020180000,2016
60618,14301140240000,2020
60618,14301190521058,2016
60618,13262280170000,2020
60618,14301100330000,2020
60618,13252250511001,2020
60618,13133080371027,2022
60618,14301190431015,2022
60618,13252100431006,2016
60618,13233030030000,2016
60618,14193290200000,2017
60618,14191070261002,2019
60618,13261210390000,2019
60618,13241280040000,2019
60618,13133050230000,2019
60618,13134140190000,2019
60618,13242050320000,2021
60618,13243070110000,2017
60618,13133250421001,2021
60618,13252200090000,2021
60618,13134010400000,2021
60618,13251120190000,2019
60618,13143210141013,2019
60618,13262000481005,2020
60618,13244050050000,2021
60618,13261220711007,2016
60618,13252180230000,2016
60618,14193090090000,2020
60618,13144260030000,2020
60618,13134050441002,2020
60618,13144200250000,2020
60618,13244050040000,2017
60618,13144260380000,2018
60618,13134120030000,2018
60618,13251100400000,2019
60618,13144180481011,2019
60618,13262160770000,2017
60618,13243040420000,2017
60618,13143130170000,2020
60618,13133030381001,2020
60618,13233110080000,2021
60618,13251300421008,2021
60618,14191000381013,2022
60618,14301060931017,2022
60618,13144290481049,2020
60618,14301020120000,2016
60618,13231230010000,2016
60618,14183230121064,2020
60618,13133180110000,2016
60618,13241310421014,2022
60618,13262080160000,2022
60618,14193260230000,2022
60618,14194090100000,2022
60618,13143070401015,2018
60618,13232310080000,2021
60618,14183140140000,2021
60618,13232100190000,2022
60618,13133150601004,2022
60618,14301060931040,2022
60618,14301060520000,2022
60618,13231280370000,2021
60618,14191310581002,2021
60618,13231120341003,2021
60618,13244041900000,2021
60618,13251120120000,2021
60618,13251160250000,2016
60618,14301061061001,2016
60618,13241300170000,2016
60618,14193290190000,2021
60618,13133180100000,2021
60618,14191240120000,2021
60618,13134130250000,2016
60618,14191310471003,2016
60618,13231010110000,2016
60618,13133290120000,2020
60618,14183230121063,2020
60618,14183190521001,2020
60618,14193210070000,2016
60618,13231210220000,2021
60618,13234080400000,2021
60618,14183140370000,2020
60618,13243180350000,2020
60618,13144250500000,2022
60618,14301210561001,2022
60618,13243230161014,2017
60618,13233000311017,2017
60618,13133210050000,2017
60618,13262170120000,2019
60618,13243070240000,2020
60618,13241280430000,2020
60618,13243050260000,2020
60618,13241080391006,2022
60618,13233080230000,2019
60618,13232280230000,2021
60618,13232310050000,2021
60618,14183000470000,2020
60618,14183020280000,2020
60618,13234060280000,2020
60618,13243050290000,2020
60618,14301220260000,2021
60618,14191000351020,2021
60618,13243130400000,2017
60618,13133060260000,2017
60618,13241040160000,2017
60618,14193160450000,2017
60618,14193210250000,2016
60618,14191130030000,2021
60618,13232240040000,2021
60618,13144190060000,2021
60618,13133260371014,2021
60618,13143070110000,2019
60618,13143070200000,2016
60618,14191070020000,2016
60618,13241000170000,2016
60618,14183190200000,2016
60618,14191190240000,2021
60618,13231270030000,2021
60618,13262250200000,2021
60618,13242040370000,2020
60618,13144290481063,2018
60618,13232270140000,2019
60618,13143290100000,2016
60618,14193210451005,2016
60618,14191220260000,2016
60618,13261210150000,2022
60618,14193200670000,2020
60618,13252160230000,2020
60618,13233170300000,2020
60618,13234070060000,2018
60618,13233190200000,2018
60618,13244060471057,2018
